company,source_job_id,title,role_family,city,state,country,workplace_type,employment_type,first_seen_at,source_posted_at,posting_url
BARCLAYS,99542113072,Operational Risk Technology Risk,Risk and Compliance,Whippany,,United States,unknown,Permanent,2026-08-21 17:37:32.207738,2026-08-21 00:00:00,https://search.jobs.barclays/job/whippany/operational-risk-technology-risk/13015/99542113072
BARCLAYS,99542113040,Director – Head of Americas Investment Banking Compliance,Risk and Compliance,New York,,United States,unknown,Permanent,2026-08-21 17:37:33.129310,2026-08-21 00:00:00,https://search.jobs.barclays/job/new-york/director-head-of-americas-investment-banking-compliance/13015/99542113040
BARCLAYS,99542112736,Executive Assistant,Risk and Compliance,New York,,United States,unknown,Permanent,2026-08-21 17:37:34.367157,2026-08-21 00:00:00,https://search.jobs.barclays/job/new-york/executive-assistant/13015/99542112736
BARCLAYS,99542082560,Operational Risk SME - Data Risk,Risk and Compliance,New York,,United States,unknown,Permanent,2026-08-21 17:37:35.308489,2026-08-21 00:00:00,https://search.jobs.barclays/job/new-york/operational-risk-sme-data-risk/13015/99542082560
BARCLAYS,99497774016,Prime Derivative Services Securities-AVP,Risk and Compliance,New York,,United States,unknown,Permanent,2026-08-21 17:37:35.725769,2026-08-20 00:00:00,https://search.jobs.barclays/job/new-york/prime-derivative-services-securities-avp/13015/99497774016
BARCLAYS,99446584384,Corporate Secretarial Americas VP,Risk and Compliance,New York,,United States,unknown,Permanent,2026-08-21 17:58:16.730719,2026-08-19 00:00:00,https://search.jobs.barclays/job/new-york/corporate-secretarial-americas-vp/13015/99446584384
BARCLAYS,99402587504,Rates Quantitative Analyst -VP,Risk and Compliance,New York,,United States,unknown,Permanent,2026-08-21 17:58:17.641677,2026-08-18 00:00:00,https://search.jobs.barclays/job/new-york/rates-quantitative-analyst-vp/13015/99402587504
BARCLAYS,99353496368,US Building Operations Director Lead,Risk and Compliance,New York,,United States,unknown,Permanent,2026-08-21 17:58:18.705747,2026-08-17 00:00:00,https://search.jobs.barclays/job/new-york/us-building-operations-director-lead/13015/99353496368
BARCLAYS,99217260160,Quantitative Finance Associate Summer Internship Program 2027 New York,Risk and Compliance,New York,NY,United States,unknown,Intern,2026-08-21 17:58:19.431900,2026-08-14 00:00:00,https://search.jobs.barclays/job/new-york/quantitative-finance-associate-summer-internship-program-2027-new-york/13015/99217260160
BARCLAYS,99187577696,Tech Lead Central Risk Book - VP,Risk and Compliance,New York,,United States,unknown,Permanent,2026-08-21 17:58:20.647608,2026-08-13 00:00:00,https://search.jobs.barclays/job/new-york/tech-lead-central-risk-book-vp/13015/99187577696
BARCLAYS,99028170736,Pensions & Benefits Analyst,Risk and Compliance,New York,,United States,unknown,Permanent,2026-08-21 17:58:21.871982,2026-08-10 00:00:00,https://search.jobs.barclays/job/new-york/pensions-and-benefits-analyst/13015/99028170736
BARCLAYS,99013667664,GTSM Head of Markets Post Trade Services,Risk and Compliance,Whippany,,United States,unknown,Permanent,2026-08-21 17:58:22.694704,2026-08-10 00:00:00,https://search.jobs.barclays/job/whippany/gtsm-head-of-markets-post-trade-services/13015/99013667664
BARCLAYS,98377005872,Internal Audit AVP- Data Analytics GenAI,Audit,New York,,United States,unknown,Permanent,2026-08-21 17:58:23.522535,2026-07-27 00:00:00,https://search.jobs.barclays/job/new-york/internal-audit-avp-data-analytics-genai/13015/98377005872
BARCLAYS,98249893152,Global Contract Service Macro-Distribution Senior Negotiator,Risk and Compliance,New York,,United States,unknown,Permanent,2026-08-21 17:58:24.676063,2026-08-21 00:00:00,https://search.jobs.barclays/job/new-york/global-contract-service-macro-distribution-senior-negotiator/13015/98249893152
BARCLAYS,98209231408,Limits & OTC Trading Technology Lead - VP,Risk and Compliance,New York,,United States,unknown,Permanent,2026-08-21 17:58:25.714860,2026-07-24 00:00:00,https://search.jobs.barclays/job/new-york/limits-and-otc-trading-technology-lead-vp/13015/98209231408
BARCLAYS,98199088048,Internal Audit AVP- Data Analytics GenAI,Audit,New York,,United States,unknown,Permanent,2026-08-21 17:58:26.716203,2026-07-23 00:00:00,https://search.jobs.barclays/job/new-york/internal-audit-avp-data-analytics-genai/13015/98199088048
BARCLAYS,98199081984,"Equity Research Biotech, Financial Associate",Risk and Compliance,New York,,United States,unknown,Permanent,2026-08-21 17:58:28.960763,2026-07-23 00:00:00,https://search.jobs.barclays/job/new-york/equity-research-biotech-financial-associate/13015/98199081984
BARCLAYS,98108912864,Senior RAD Developer,Risk and Compliance,New York,,United States,unknown,Permanent,2026-08-21 17:58:29.488608,2026-07-21 00:00:00,https://search.jobs.barclays/job/new-york/senior-rad-developer/13015/98108912864
BARCLAYS,98066360784,Internal Audit – AVP Transaction Testing & Analytics,Audit,New York,,United States,unknown,Permanent,2026-08-21 17:58:30.502993,2026-08-19 00:00:00,https://search.jobs.barclays/job/new-york/internal-audit-avp-transaction-testing-and-analytics/13015/98066360784
BARCLAYS,97938023136,VP Audit-Global Investment Banking,Risk and Compliance,New York,,United States,unknown,Permanent,2026-08-21 17:58:32.083530,2026-08-12 00:00:00,https://search.jobs.barclays/job/new-york/vp-audit-global-investment-banking/13015/97938023136
BARCLAYS,97834886432,"Investment Banking Healthcare, AVP",Risk and Compliance,New York,,United States,unknown,Permanent,2026-08-21 17:58:32.767967,2026-07-15 00:00:00,https://search.jobs.barclays/job/new-york/investment-banking-healthcare-avp/13015/97834886432
BARCLAYS,97834882576,Market Data Operations Manager,Risk and Compliance,New York,,United States,unknown,Permanent,2026-08-21 17:58:33.829989,2026-07-23 00:00:00,https://search.jobs.barclays/job/new-york/market-data-operations-manager/13015/97834882576
BARCLAYS,97791665424,"Data Scientist, Analytics and Modelling",Risk and Compliance,New York,,United States,unknown,Permanent,2026-08-21 17:58:34.547410,2026-07-14 00:00:00,https://search.jobs.barclays/job/new-york/data-scientist-analytics-and-modelling/13015/97791665424
BARCLAYS,97535802768,Senior FX Trading System Engineer - AVP,Risk and Compliance,New York,,United States,unknown,Permanent,2026-08-21 17:58:35.559086,2026-07-08 00:00:00,https://search.jobs.barclays/job/new-york/senior-fx-trading-system-engineer-avp/13015/97535802768
BARCLAYS,97254028672,Equity Research Broker/Dealers and Asset Managers AVP,Risk and Compliance,New York,,United States,unknown,Permanent,2026-08-21 17:58:36.791732,2026-08-06 00:00:00,https://search.jobs.barclays/job/new-york/equity-research-broker-dealers-and-asset-managers-avp/13015/97254028672
BARCLAYS,97142176528,VP - Prime Services Product Manager,Risk and Compliance,New York,,United States,unknown,Permanent,2026-08-21 17:58:37.873616,2026-06-30 00:00:00,https://search.jobs.barclays/job/new-york/vp-prime-services-product-manager/13015/97142176528
BARCLAYS,97110713792,Assistant VP - Global Markets,Risk and Compliance,New York,,United States,unknown,Permanent,2026-08-21 17:58:39.047154,2026-06-29 00:00:00,https://search.jobs.barclays/job/new-york/assistant-vp-global-markets/13015/97110713792
BARCLAYS,96979853760,"Business Analyst / Project Manager, AVP",Risk and Compliance,New York,,United States,unknown,Permanent,2026-08-21 17:58:39.887438,2026-06-26 00:00:00,https://search.jobs.barclays/job/new-york/business-analyst-project-manager-avp/13015/96979853760
BARCLAYS,96979843088,"VP, Prime Services Transition Management",Risk and Compliance,New York,,United States,unknown,Permanent,2026-08-21 17:58:41.298656,2026-08-06 00:00:00,https://search.jobs.barclays/job/new-york/vp-prime-services-transition-management/13015/96979843088
BARCLAYS,96889479840,Equity Research Airlines and Transportation AVP,Risk and Compliance,New York,,United States,unknown,Permanent,2026-08-21 17:58:41.939255,2026-08-06 00:00:00,https://search.jobs.barclays/job/new-york/equity-research-airlines-and-transportation-avp/13015/96889479840
BARCLAYS,96575884976,Head of Escrow Sales,Risk and Compliance,New York,,United States,unknown,Permanent,2026-08-21 17:58:42.885939,2026-06-17 00:00:00,https://search.jobs.barclays/job/new-york/head-of-escrow-sales/13015/96575884976
BARCLAYS,96575884928,Head of Escrow Structuring Execution and Control,Risk and Compliance,New York,,United States,unknown,Permanent,2026-08-21 17:58:43.832854,2026-06-17 00:00:00,https://search.jobs.barclays/job/new-york/head-of-escrow-structuring-execution-and-control/13015/96575884928
BARCLAYS,96259803648,Senior Site Reliability Engineer - AVP - Credit Trade Floor,Cloud and Infrastructure,New York,,United States,unknown,Permanent,2026-08-21 17:58:45.607802,2026-08-04 00:00:00,https://search.jobs.barclays/job/new-york/senior-site-reliability-engineer-avp-credit-trade-floor/13015/96259803648
BARCLAYS,95424170528,"Equities Derivatives Strat, VP",Risk and Compliance,New York,,United States,unknown,Permanent,2026-08-21 17:58:46.802681,2026-08-18 00:00:00,https://search.jobs.barclays/job/new-york/equities-derivatives-strat-vp/13015/95424170528
