company,source_job_id,title,role_family,city,state,country,workplace_type,employment_type,first_seen_at,source_posted_at,posting_url
BNY,73320,"Associate, Client Processing I",Operations,Lake Mary,FL,United States,unknown,Full time,2026-07-20 19:37:13.092816,2026-07-20 00:00:00,https://eofe.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/BNY-Careers/job/73320
BNY,78275,"Senior Vice President, Forward Deployed Engineer",Software Engineering,Pittsburgh,PA,United States,unknown,Full time,2026-07-20 19:37:13.931571,2026-07-20 00:00:00,https://eofe.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/BNY-Careers/job/78275
BNY,78304,"Senior Specialist, Client Service",Risk and Compliance,,,United States,unknown,Full time,2026-07-20 19:37:14.825590,2026-07-20 00:00:00,https://eofe.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/BNY-Careers/job/78304
BNY,78688,"Vice President, Fund Reporting",Risk and Compliance,Westborough,MA,United States,unknown,Full time,2026-07-20 19:37:15.850591,2026-07-20 00:00:00,https://eofe.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/BNY-Careers/job/78688
BNY,78791,"Senior Specialist, Fund/Client Accounting",Finance and Accounting,Boston,MA,United States,unknown,Full time,2026-07-20 19:37:16.948878,2026-07-20 00:00:00,https://eofe.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/BNY-Careers/job/78791
BNY,78795,"Senior Specialist, Investor Services Operations",Operations,Boston,MA,United States,unknown,Full time,2026-07-20 19:37:17.905888,2026-07-20 00:00:00,https://eofe.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/BNY-Careers/job/78795
BNY,78801,"Vice President, Corporate Actions, Operations - Fund & Investor Solutions",Operations,Pittsburgh,PA,United States,unknown,Full time,2026-07-20 19:37:18.920198,2026-08-10 00:00:00,https://eofe.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/BNY-Careers/job/78801
BNY,78802,"Senior Vice President, Fund/Client Accounting Manager",Finance and Accounting,Lake Mary,FL,United States,unknown,Full time,2026-07-20 19:37:20.120585,2026-07-20 00:00:00,https://eofe.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/BNY-Careers/job/78802
BNY,78805,"Vice President, Fund/Client Accounting Manager",Finance and Accounting,Lake Mary,FL,United States,unknown,Full time,2026-07-20 19:37:20.908847,2026-07-20 00:00:00,https://eofe.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/BNY-Careers/job/78805
BNY,78844,"Senior Specialist, Fund/Client Accounting",Finance and Accounting,Lake Mary,FL,United States,unknown,Full time,2026-07-20 19:37:22.171895,2026-07-20 00:00:00,https://eofe.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/BNY-Careers/job/78844
BNY,78846,"Senior Specialist, Fund/Client Accounting",Finance and Accounting,Lake Mary,FL,United States,unknown,Full time,2026-07-20 19:37:22.965935,2026-07-20 00:00:00,https://eofe.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/BNY-Careers/job/78846
BNY,79081,"Vice President, FX Platform Sales",Sales and Relationship Management,New York,NY,United States,hybrid,Full time,2026-07-20 19:37:23.959638,2026-07-20 00:00:00,https://eofe.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/BNY-Careers/job/79081
BNY,79086,"Specialist, FX Platform Sales",Sales and Relationship Management,New York,NY,United States,hybrid,Full time,2026-07-20 19:37:26.247046,2026-07-20 00:00:00,https://eofe.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/BNY-Careers/job/79086
BNY,79182,"Vice President, Information Security",Cybersecurity,Pittsburgh,PA,United States,unknown,Full time,2026-07-20 19:37:26.924205,2026-07-20 00:00:00,https://eofe.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/BNY-Careers/job/79182
BNY,79222,"Vice President, Data Transfer, Integration & Quality Manager",Risk and Compliance,New York,NY,United States,hybrid,Full time,2026-07-20 19:37:27.999163,2026-07-20 00:00:00,https://eofe.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/BNY-Careers/job/79222
BNY,79242,"Vice President, Fund/Client Accounting Manager",Finance and Accounting,Lake Mary,FL,United States,unknown,Full time,2026-07-20 19:37:29.069835,2026-07-20 00:00:00,https://eofe.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/BNY-Careers/job/79242
BNY,79241,"Senior Vice President, Fund/Client Accounting Manager",Finance and Accounting,Lake Mary,FL,United States,unknown,Full time,2026-07-20 19:37:29.974195,2026-07-20 00:00:00,https://eofe.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/BNY-Careers/job/79241
BNY,79246,"Vice President, Fund/Client Accounting Manager",Finance and Accounting,Lake Mary,FL,United States,unknown,Full time,2026-07-20 19:37:31.071093,2026-07-20 00:00:00,https://eofe.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/BNY-Careers/job/79246
BNY,79247,"Senior Specialist, Fund/Client Accounting",Finance and Accounting,Lake Mary,FL,United States,unknown,Full time,2026-07-20 19:37:31.906177,2026-07-20 00:00:00,https://eofe.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/BNY-Careers/job/79247
BNY,79244,"Vice President, Fund/Client Accounting Manager",Finance and Accounting,Lake Mary,FL,United States,unknown,Full time,2026-07-20 19:37:33.016168,2026-07-20 00:00:00,https://eofe.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/BNY-Careers/job/79244
BNY,75725,"Director, Fund/Client Accounting",Finance and Accounting,Lake Mary,FL,United States,unknown,Full time,2026-07-20 20:31:28.719658,2026-07-20 00:00:00,https://eofe.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/BNY-Careers/job/75725
BNY,79248,"Senior Specialist, Fund/Client Accounting",Finance and Accounting,Lake Mary,FL,United States,unknown,Full time,2026-07-20 21:39:20.661038,2026-07-20 00:00:00,https://eofe.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/BNY-Careers/job/79248
