company,source_job_id,title,role_family,city,state,country,workplace_type,employment_type,first_seen_at,source_posted_at,posting_url
CITIBANK,99532153872,Java Fullstack Developer Lead Application Development Technical  Lead Analyst Vice President Conversion,Software Engineering,Irving,TX,United States,hybrid,,2026-08-21 17:42:52.630384,2026-08-21 00:00:00,https://jobs.citi.com/job/irving/java-fullstack-developer-lead-application-development-technical-lead-analyst-vice-president-convers/287/99532153872
CITIBANK,99532123216,Build Engineer Assistant Vice President Conversion,Risk and Compliance,Irving,TX,United States,hybrid,,2026-08-21 17:42:54.663079,2026-08-21 00:00:00,https://jobs.citi.com/job/irving/build-engineer-assistant-vice-president-conversion/287/99532123216
CITIBANK,98388390000,AVP Quantitative Analyst – Flow Equity Derivatives,Risk and Compliance,New York,NY,United States,hybrid,,2026-08-21 17:42:56.660916,2026-07-27 00:00:00,https://jobs.citi.com/job/new-york/avp-quantitative-analyst-flow-equity-derivatives/287/98388390000
CITIBANK,99532178912,"Senior Vice President, Mid-Corp Relationship Manager - Digital Tech & Comms",Risk and Compliance,San Francisco,CA,United States,hybrid,,2026-08-21 17:42:57.684627,2026-08-21 00:00:00,https://jobs.citi.com/job/san-francisco/senior-vice-president-mid-corp-relationship-manager-digital-tech-and-comms/287/99532178912
CITIBANK,99532165872,Personal Banker SAFE Act (Bilingual: English/Spanish Speaking Preferred) - Port Washington Branch,Sales and Relationship Management,Port Washington,NY,United States,unknown,,2026-08-21 17:42:58.698037,2026-08-21 00:00:00,https://jobs.citi.com/job/port-washington/personal-banker-safe-act-bilingual-english-spanish-speaking-preferred-port-washington-branch/287/99532165872
CITIBANK,99545069296,Securities and Derivatives Senior Analyst Hybrid,Risk and Compliance,Getzville,NY,United States,hybrid,,2026-08-21 19:24:25.097247,2026-08-21 00:00:00,https://jobs.citi.com/job/getzville/securities-and-derivatives-senior-analyst-hybrid/287/99545069296
CITIBANK,99545052128,Personal Banker SAFE Act - Princess Bay Branch,Sales and Relationship Management,New York,NY,United States,unknown,,2026-08-21 19:24:25.999657,2026-08-21 00:00:00,https://jobs.citi.com/job/new-york/personal-banker-safe-act-princess-bay-branch/287/99545052128
CITIBANK,99545050336,Part-Time Universal Banker (20 Hours) - Central Islip Branch,Sales and Relationship Management,Central Islip,NY,United States,unknown,,2026-08-21 19:24:26.995352,2026-08-21 00:00:00,https://jobs.citi.com/job/central-islip/part-time-universal-banker-20-hours-central-islip-branch/287/99545050336
CITIBANK,99544988176,"AI Digital Senior Program Lead, Global Services - Senior Vice President",Operations,New York,NY,United States,hybrid,,2026-08-21 19:24:29.062810,2026-08-21 00:00:00,https://jobs.citi.com/job/new-york/ai-digital-senior-program-lead-global-services-senior-vice-president/287/99544988176
CITIBANK,99532165856,Personal Banker SAFE Act (Bilingual: English/Chinese/Mandarin Speaking Preferred) - Jericho Branch,Sales and Relationship Management,Jericho,NY,United States,unknown,,2026-08-21 19:24:30.963427,2026-08-21 00:00:00,https://jobs.citi.com/job/jericho/personal-banker-safe-act-bilingual-english-chinese-mandarin-speaking-preferred-jericho-branch/287/99532165856
CITIBANK,99213759056,Lead IT Business Analyst,Business Analysis,Jacksonville,FL,United States,hybrid,,2026-08-21 19:24:36.256187,2026-08-14 00:00:00,https://jobs.citi.com/job/jacksonville/lead-it-business-analyst/287/99213759056
CITIBANK,97845637888,"Banking, Investment Banking, Full Time Analyst, Los Angeles – USA, 2027",Sales and Relationship Management,Los Angeles,CA,United States,unknown,,2026-08-21 19:24:39.232845,2026-08-21 00:00:00,https://jobs.citi.com/job/los-angeles/banking-investment-banking-full-time-analyst-los-angeles-usa-2027/287/97845637888
CITIBANK,96872383456,Application UI Development Lead - Vice President,Risk and Compliance,New York,NY,United States,unknown,,2026-08-21 19:24:40.110895,2026-06-24 00:00:00,https://jobs.citi.com/job/new-york/application-ui-development-lead-vice-president/287/96872383456
CITIBANK,90339934336,"Wealth Relationship Manager, SAFE Act-  PALM SPRINGS",Risk and Compliance,Palm Springs,CA,United States,unknown,,2026-08-21 19:24:42.264028,2026-08-18 00:00:00,https://jobs.citi.com/job/palm-springs/wealth-relationship-manager-safe-act-palm-springs/287/90339934336
CITIBANK,99532165616,Personal Banker SAFE Act - Glen Cove Branch,Sales and Relationship Management,Glen Cove,NY,United States,unknown,,2026-08-21 19:24:45.276687,2026-08-21 00:00:00,https://jobs.citi.com/job/glen-cove/personal-banker-safe-act-glen-cove-branch/287/99532165616
CITIBANK,99532164752,"Part-Time Universal Banker (20 Hours), Bilingual English/Spanish Speaking Preferred, West Doral Branch",Sales and Relationship Management,Miami,FL,United States,unknown,,2026-08-21 19:24:46.290404,2026-08-21 00:00:00,https://jobs.citi.com/job/miami/part-time-universal-banker-20-hours-bilingual-english-spanish-speaking-preferred-west-doral-branch/287/99532164752
CITIBANK,99532164672,"Part-Time Universal Banker (20 Hours), Bilingual English/Spanish Speaking Preferred, North Broward Area",Sales and Relationship Management,Coconut Creek,FL,United States,unknown,,2026-08-21 19:24:47.302277,2026-08-21 00:00:00,https://jobs.citi.com/job/coconut-creek/part-time-universal-banker-20-hours-bilingual-english-spanish-speaking-preferred-north-broward-area/287/99532164672
CITIBANK,99532164416,Part-Time Universal Banker (20 Hours) - Hewlett Branch,Sales and Relationship Management,Hewlett,NY,United States,unknown,,2026-08-21 19:24:48.314543,2026-08-21 00:00:00,https://jobs.citi.com/job/hewlett/part-time-universal-banker-20-hours-hewlett-branch/287/99532164416
